record_id ,date       ,timestamp ,intersection_id ,intersection_name  ,latitude ,longitude ,vehicle_count ,average_speed ,signal_cycle_time ,green_time ,yellow_time ,red_time ,weather_condition ,day_of_week ,is_weekend ,is_holiday ,event                ,pollution_level ,car_count ,bus_count ,truck_count ,motorcycle_count
9926      ,07-01-2023 ,21:20:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,75            ,39.72         ,120               ,63         ,4           ,53       ,Clear             ,Saturday    ,weekend    ,0          ,NA                   ,1.21            ,48        ,4         ,6           ,17
8595      ,06-01-2023 ,23:10:00  ,5               ,Naini Bridge       ,25.41    ,81.86     ,139           ,30.33         ,120               ,51         ,4           ,65       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,2.86            ,89        ,13        ,17          ,20
673       ,01-01-2023 ,11:10:00  ,3               ,Chowk              ,25.43    ,81.84     ,20            ,53.28         ,120               ,69         ,5           ,46       ,Clear             ,Sunday      ,weekend    ,1          ,NA                   ,0.34            ,15        ,1         ,2           ,2
8744      ,07-01-2023 ,01:40:00  ,4               ,Tagore Town        ,25.47    ,81.89     ,21            ,36.06         ,120               ,59         ,4           ,57       ,Heavy Rain        ,Saturday    ,weekend    ,0          ,NA                   ,0.54            ,12        ,4         ,2           ,3
316       ,01-01-2023 ,05:10:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,41            ,47.21         ,120               ,NA         ,5           ,54       ,Clear             ,Sunday      ,weekend    ,1          ,NA                   ,0.86            ,26        ,6         ,2           ,7
1092      ,01-01-2023 ,18:10:00  ,2               ,Katra              ,25.46    ,81.85     ,177           ,24.71         ,120               ,77         ,5           ,38       ,Clear             ,Sunday      ,weekend    ,1          ,New Year Celebration ,3.46            ,111       ,18        ,15          ,33
3503      ,03-01-2023 ,10:20:00  ,3               ,Chowk              ,25.43    ,81.84     ,133           ,23.87         ,120               ,NA         ,6           ,47       ,Heavy Rain        ,Tuesday     ,workday    ,0          ,NA                   ,2.78            ,77        ,16        ,12          ,28
7477      ,06-01-2023 ,04:30:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,162           ,25.93         ,120               ,79         ,6           ,35       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,3.16            ,95        ,14        ,18          ,35
2955      ,03-01-2023 ,01:10:00  ,5               ,Naini Bridge       ,25.41    ,81.86     ,32            ,30.79         ,120               ,60         ,5           ,55       ,Heavy Rain        ,Tuesday     ,workday    ,0          ,NA                   ,0.77            ,19        ,4         ,5           ,4
6620      ,05-01-2023 ,14:10:00  ,10              ,Minto Park         ,25.44    ,81.88     ,75            ,39.93         ,120               ,53         ,6           ,61       ,Cold Wave         ,Thursday    ,workday    ,1          ,NA                   ,1.86            ,33        ,11        ,11          ,20
4872      ,04-01-2023 ,09:10:00  ,2               ,Katra              ,25.46    ,81.85     ,152           ,29.01         ,120               ,67         ,3           ,50       ,Cold Wave         ,Wednesday   ,workday    ,0          ,NA                   ,3               ,96        ,17        ,11          ,28
6309      ,05-01-2023 ,09:00:00  ,9               ,MNNIT Gate         ,25.49    ,81.86     ,146           ,29.73         ,120               ,59         ,5           ,56       ,Clear             ,Thursday    ,workday    ,1          ,NA                   ,2.87            ,94        ,14        ,14          ,24
